year,unitid,instnm,n_applicants,n_admits,n_enrl,test_req,n_sat,pct_sat,sat_score,n_act,pct_act,act_score
2017,104179,University of Arizona,33608,28089,7360,Recommended,,,,,,
2018,104179,University of Arizona,39941,33717,7750,Considered by not required,4076,53,1190,4153,54,35
2019,104179,University of Arizona,40854,34558,7683,Considered by not required,3932,51,1235,3821,50,35.5
2020,104179,University of Arizona,43540,37064,7334,Considered by not required,3380,46,1220,3600,49,35.5
2017,110644,University of California-Davis,70952,30762,5868,Required,4766,81,1245,3280,56,41
2018,110644,University of California-Davis,78022,32046,6393,Required,5577,87,1280,2838,44,40
2019,110644,University of California-Davis,78093,30358,5957,Required,5325,89,1290,2312,39,40
2020,110644,University of California-Davis,76897,35645,6144,Required,5509,90,1280,2024,33,41.5
2017,110662,University of California-Los Angeles,102225,16456,6038,Required,4610,76,1335,3758,62,46
2018,110662,University of California-Los Angeles,113754,15970,6240,Required,4869,78,1405,3337,53,47
2019,110662,University of California-Los Angeles,111321,13720,5920,Required,4802,81,1415,2718,46,46.5
2020,110662,University of California-Los Angeles,108870,15602,6386,Other,,,,,,
2017,134130,University of Florida,32747,13758,6428,Required,5131,79,1320,4620,71,44
2018,134130,University of Florida,38905,15077,6801,Required,5595,82,1360,3879,57,43
2019,134130,University of Florida,38069,13925,6554,Required,5540,85,1390,3281,50,44.5
2020,134130,University of Florida,48193,15002,6333,Required,5133,81,1375,3172,50,45.5
2017,145637,University of Illinois at Urbana-Champaign,38965,23974,7518,Required,1682,22,1420,6411,85,42
2018,145637,University of Illinois at Urbana-Champaign,39406,24496,7609,Required,4785,63,1330,4824,63,42
2019,145637,University of Illinois at Urbana-Champaign,43509,25684,7665,Required,6030,79,1340,4213,55,42
2020,145637,University of Illinois at Urbana-Champaign,43473,27520,7529,Required,5630,75,1330,3753,50,43.5
2017,153658,University of Iowa,27734,23862,5027,Required,438,9,1255,4782,95,37
2018,153658,University of Iowa,26706,22077,4806,Required,1253,26,1225,4307,90,37
2019,153658,University of Iowa,25928,21404,4986,Required,1440,29,1235,4320,87,36.5
2020,153658,University of Iowa,24132,20338,4510,Required,1197,27,1210,3919,87,36.5
2017,163286,University of Maryland-College Park,33922,15096,4156,Required,2563,62,1375,1588,38,45.5
2018,163286,University of Maryland-College Park,33497,15796,4748,Required,3355,71,1380,1357,29,45.5
2019,163286,University of Maryland-College Park,33012,14585,4279,Required,3264,76,1375,1022,24,46
2020,163286,University of Maryland-College Park,32147,16382,4347,Required,3363,77,1375,946,22,47
2017,171100,Michigan State University,36143,25860,8366,Required,5039,60,1210,4772,57,37
2018,171100,Michigan State University,33129,25733,8688,Required,6589,76,1210,3698,43,37.5
2019,171100,Michigan State University,44322,31522,8801,Required,6882,78,1210,3336,38,37.5
2020,171100,Michigan State University,45426,34663,8389,Required,6697,80,1200,3042,36,37.5
2017,174066,University of Minnesota-Twin Cities,43731,21692,6201,Required,799,13,1375,5713,92,41.5
2018,174066,University of Minnesota-Twin Cities,43444,22525,5977,Required,830,14,1375,5448,91,41.5
2019,174066,University of Minnesota-Twin Cities,40673,23076,6278,Required,1127,18,1370,5560,89,41.5
