unitid,instnm,city,stabbr,control,hdegrofr1,hospital,medical,locale,instsize,landgrnt,c18basic,c18enprf,c18szset
104179,University of Arizona,Tucson,AZ,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,City: Large,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily nonresidential"
110644,University of California-Davis,Davis,CA,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Suburb: Small,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily nonresidential"
110662,University of California-Los Angeles,Los Angeles,CA,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Large,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, highly residential"
134130,University of Florida,Gainesville,FL,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,City: Midsize,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, primarily residential"
145637,University of Illinois at Urbana-Champaign,Champaign,IL,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Small,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, highly residential"
153658,University of Iowa,Iowa City,IA,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Small,"20,000 and above",Not Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily residential"
163286,University of Maryland-College Park,College Park,MD,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,Suburb: Large,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily residential"
171100,Michigan State University,East Lansing,MI,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,City: Small,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily residential"
174066,University of Minnesota-Twin Cities,Minneapolis,MN,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,City: Large,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, primarily nonresidential"
199120,University of North Carolina at Chapel Hill,Chapel Hill,NC,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,City: Small,"20,000 and above",Not Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, highly residential"
204796,Ohio State University-Main Campus,Columbus,OH,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Large,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily residential"
214777,Pennsylvania State University-Main Campus,University Park,PA,Public,Doctor's degree - research/scholarship and professional practice,Yes,No,City: Small,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily residential"
228723,Texas A & M University-College Station,College Station,TX,Public,Doctor's degree - research/scholarship and professional practice,No,Yes,City: Midsize,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily residential"
228778,The University of Texas at Austin,Austin,TX,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Large,"20,000 and above",Not Land Grant Institution,Doctoral Universities: Very High Research Activity,High undergraduate,"Four-year, large, primarily nonresidential"
236948,University of Washington-Seattle Campus,Seattle,WA,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Large,"20,000 and above",Not Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, primarily residential"
240444,University of Wisconsin-Madison,Madison,WI,Public,Doctor's degree - research/scholarship and professional practice,Yes,Yes,City: Large,"20,000 and above",Land Grant Institution,Doctoral Universities: Very High Research Activity,Majority undergraduate,"Four-year, large, primarily residential"
