year,unitid,instnm,awlevelc,gender,n_deg
2017,104179,University of Arizona,Bachelor's degree,Total,6638
2017,104179,University of Arizona,Bachelor's degree,Men,3103
2017,104179,University of Arizona,Bachelor's degree,Women,3535
2017,104179,University of Arizona,Master's degree,Total,1929
2017,104179,University of Arizona,Master's degree,Men,867
2017,104179,University of Arizona,Master's degree,Women,1062
2017,104179,University of Arizona,Doctor's degree,Total,936
2017,104179,University of Arizona,Doctor's degree,Men,428
2017,104179,University of Arizona,Doctor's degree,Women,508
2018,104179,University of Arizona,Bachelor's degree,Total,6913
2018,104179,University of Arizona,Bachelor's degree,Men,3170
2018,104179,University of Arizona,Bachelor's degree,Women,3743
2018,104179,University of Arizona,Master's degree,Total,1938
2018,104179,University of Arizona,Master's degree,Men,883
2018,104179,University of Arizona,Master's degree,Women,1055
2018,104179,University of Arizona,Doctor's degree,Total,947
2018,104179,University of Arizona,Doctor's degree,Men,442
2018,104179,University of Arizona,Doctor's degree,Women,505
2019,104179,University of Arizona,Bachelor's degree,Total,7368
2019,104179,University of Arizona,Bachelor's degree,Men,3463
2019,104179,University of Arizona,Bachelor's degree,Women,3905
2019,104179,University of Arizona,Master's degree,Total,2066
2019,104179,University of Arizona,Master's degree,Men,922
2019,104179,University of Arizona,Master's degree,Women,1144
2019,104179,University of Arizona,Doctor's degree,Total,978
2019,104179,University of Arizona,Doctor's degree,Men,476
2019,104179,University of Arizona,Doctor's degree,Women,502
2020,104179,University of Arizona,Bachelor's degree,Total,7027
2020,104179,University of Arizona,Bachelor's degree,Men,3299
2020,104179,University of Arizona,Bachelor's degree,Women,3728
2020,104179,University of Arizona,Master's degree,Total,2002
2020,104179,University of Arizona,Master's degree,Men,889
2020,104179,University of Arizona,Master's degree,Women,1113
2020,104179,University of Arizona,Doctor's degree,Total,948
2020,104179,University of Arizona,Doctor's degree,Men,442
2020,104179,University of Arizona,Doctor's degree,Women,506
2017,110644,University of California-Davis,Bachelor's degree,Total,7618
2017,110644,University of California-Davis,Bachelor's degree,Men,3177
2017,110644,University of California-Davis,Bachelor's degree,Women,4441
2017,110644,University of California-Davis,Master's degree,Total,1093
2017,110644,University of California-Davis,Master's degree,Men,522
2017,110644,University of California-Davis,Master's degree,Women,571
2017,110644,University of California-Davis,Doctor's degree,Total,919
2017,110644,University of California-Davis,Doctor's degree,Men,412
2017,110644,University of California-Davis,Doctor's degree,Women,507
2018,110644,University of California-Davis,Bachelor's degree,Total,7932
2018,110644,University of California-Davis,Bachelor's degree,Men,3342
2018,110644,University of California-Davis,Bachelor's degree,Women,4590
2018,110644,University of California-Davis,Master's degree,Total,1151
2018,110644,University of California-Davis,Master's degree,Men,516
2018,110644,University of California-Davis,Master's degree,Women,635
2018,110644,University of California-Davis,Doctor's degree,Total,988
2018,110644,University of California-Davis,Doctor's degree,Men,469
2018,110644,University of California-Davis,Doctor's degree,Women,519
2019,110644,University of California-Davis,Bachelor's degree,Total,7773
2019,110644,University of California-Davis,Bachelor's degree,Men,3121
2019,110644,University of California-Davis,Bachelor's degree,Women,4652
2019,110644,University of California-Davis,Master's degree,Total,1288
2019,110644,University of California-Davis,Master's degree,Men,514
2019,110644,University of California-Davis,Master's degree,Women,774
2019,110644,University of California-Davis,Doctor's degree,Total,929
2019,110644,University of California-Davis,Doctor's degree,Men,410
