year,unitid,instnm,lstudy,gender,n_enrl
2017,104179,University of Arizona,All students,Total,43751
2017,104179,University of Arizona,All students,Men,21058
2017,104179,University of Arizona,All students,Women,22693
2017,104179,University of Arizona,Undergraduate,Total,34101
2017,104179,University of Arizona,Undergraduate,Men,16435
2017,104179,University of Arizona,Undergraduate,Women,17666
2017,104179,University of Arizona,Graduate,Total,9650
2017,104179,University of Arizona,Graduate,Men,4623
2017,104179,University of Arizona,Graduate,Women,5027
2018,104179,University of Arizona,All students,Total,44097
2018,104179,University of Arizona,All students,Men,20993
2018,104179,University of Arizona,All students,Women,23104
2018,104179,University of Arizona,Undergraduate,Total,34153
2018,104179,University of Arizona,Undergraduate,Men,16276
2018,104179,University of Arizona,Undergraduate,Women,17877
2018,104179,University of Arizona,Graduate,Total,9944
2018,104179,University of Arizona,Graduate,Men,4717
2018,104179,University of Arizona,Graduate,Women,5227
2019,104179,University of Arizona,All students,Total,44577
2019,104179,University of Arizona,All students,Men,20815
2019,104179,University of Arizona,All students,Women,23762
2019,104179,University of Arizona,Undergraduate,Total,34516
2019,104179,University of Arizona,Undergraduate,Men,16113
2019,104179,University of Arizona,Undergraduate,Women,18403
2019,104179,University of Arizona,Graduate,Total,10061
2019,104179,University of Arizona,Graduate,Men,4702
2019,104179,University of Arizona,Graduate,Women,5359
2020,104179,University of Arizona,All students,Total,45601
2020,104179,University of Arizona,All students,Men,20578
2020,104179,University of Arizona,All students,Women,25023
2020,104179,University of Arizona,Undergraduate,Total,35357
2020,104179,University of Arizona,Undergraduate,Men,15940
2020,104179,University of Arizona,Undergraduate,Women,19417
2020,104179,University of Arizona,Graduate,Total,10244
2020,104179,University of Arizona,Graduate,Men,4638
2020,104179,University of Arizona,Graduate,Women,5606
2017,110644,University of California-Davis,All students,Total,37380
2017,110644,University of California-Davis,All students,Men,15568
2017,110644,University of California-Davis,All students,Women,21812
2017,110644,University of California-Davis,Undergraduate,Total,30066
2017,110644,University of California-Davis,Undergraduate,Men,12230
2017,110644,University of California-Davis,Undergraduate,Women,17836
2017,110644,University of California-Davis,Graduate,Total,7314
2017,110644,University of California-Davis,Graduate,Men,3338
2017,110644,University of California-Davis,Graduate,Women,3976
2018,110644,University of California-Davis,All students,Total,38167
2018,110644,University of California-Davis,All students,Men,15539
2018,110644,University of California-Davis,All students,Women,22628
2018,110644,University of California-Davis,Undergraduate,Total,30718
2018,110644,University of California-Davis,Undergraduate,Men,12174
2018,110644,University of California-Davis,Undergraduate,Women,18544
2018,110644,University of California-Davis,Graduate,Total,7449
2018,110644,University of California-Davis,Graduate,Men,3365
2018,110644,University of California-Davis,Graduate,Women,4084
2019,110644,University of California-Davis,All students,Total,38634
2019,110644,University of California-Davis,All students,Men,15546
2019,110644,University of California-Davis,All students,Women,23088
2019,110644,University of California-Davis,Undergraduate,Total,30982
2019,110644,University of California-Davis,Undergraduate,Men,12170
2019,110644,University of California-Davis,Undergraduate,Women,18812
2019,110644,University of California-Davis,Graduate,Total,7652
2019,110644,University of California-Davis,Graduate,Men,3376
2019,110644,University of California-Davis,Graduate,Women,4276
2020,110644,University of California-Davis,All students,Total,39074
2020,110644,University of California-Davis,All students,Men,15647
2020,110644,University of California-Davis,All students,Women,23427
2020,110644,University of California-Davis,Undergraduate,Total,31162
2020,110644,University of California-Davis,Undergraduate,Men,12177
2020,110644,University of California-Davis,Undergraduate,Women,18985
2020,110644,University of California-Davis,Graduate,Total,7912
2020,110644,University of California-Davis,Graduate,Men,3470
